#           k/h    P           
    0.65145E-01    0.10457E+05
    0.65692E-01    0.10391E+05
    0.66240E-01    0.10323E+05
    0.66787E-01    0.10256E+05
    0.67334E-01    0.10187E+05
    0.67881E-01    0.10118E+05
    0.68428E-01    0.10047E+05
    0.68975E-01    0.99761E+04
    0.69522E-01    0.99039E+04
    0.70069E-01    0.98308E+04
    0.70616E-01    0.97567E+04
    0.71163E-01    0.96816E+04
    0.71710E-01    0.96055E+04
    0.72257E-01    0.95283E+04
    0.72804E-01    0.94502E+04
    0.73352E-01    0.93711E+04
    0.73899E-01    0.92910E+04
    0.74446E-01    0.92099E+04
    0.74993E-01    0.91280E+04
    0.75540E-01    0.90453E+04
    0.76087E-01    0.89617E+04
    0.76634E-01    0.88774E+04
    0.77181E-01    0.87924E+04
    0.77728E-01    0.87067E+04
    0.78275E-01    0.86205E+04
    0.78822E-01    0.85338E+04
    0.79369E-01    0.84467E+04
    0.79916E-01    0.83593E+04
    0.80463E-01    0.82716E+04
    0.81011E-01    0.81837E+04
    0.81558E-01    0.80957E+04
    0.82105E-01    0.80077E+04
    0.82652E-01    0.79197E+04
    0.83199E-01    0.78319E+04
    0.83746E-01    0.77444E+04
    0.84293E-01    0.76572E+04
    0.84840E-01    0.75703E+04
    0.85387E-01    0.74840E+04
    0.85934E-01    0.73982E+04
    0.86481E-01    0.73131E+04
    0.87028E-01    0.72287E+04
    0.87575E-01    0.71451E+04
    0.88123E-01    0.70624E+04
    0.88670E-01    0.69806E+04
    0.89217E-01    0.68998E+04
    0.89764E-01    0.68201E+04
    0.90311E-01    0.67415E+04
    0.90858E-01    0.66641E+04
    0.91405E-01    0.65879E+04
    0.91952E-01    0.65131E+04
    0.92499E-01    0.64395E+04
    0.93046E-01    0.63674E+04
    0.93593E-01    0.62966E+04
    0.94140E-01    0.62273E+04
    0.94687E-01    0.61595E+04
    0.95235E-01    0.60932E+04
    0.95782E-01    0.60284E+04
    0.96329E-01    0.59652E+04
    0.96876E-01    0.59036E+04
    0.97423E-01    0.58435E+04
    0.97970E-01    0.57850E+04
    0.98517E-01    0.57281E+04
    0.99064E-01    0.56727E+04
    0.99611E-01    0.56190E+04
    0.10016E+00    0.55669E+04
    0.10071E+00    0.55163E+04
    0.10125E+00    0.54673E+04
    0.10180E+00    0.54198E+04
    0.10235E+00    0.53739E+04
    0.10289E+00    0.53294E+04
    0.10344E+00    0.52865E+04
    0.10399E+00    0.52450E+04
    0.10453E+00    0.52049E+04
    0.10508E+00    0.51662E+04
    0.10563E+00    0.51289E+04
    0.10618E+00    0.50929E+04
    0.10672E+00    0.50582E+04
    0.10727E+00    0.50248E+04
    0.10782E+00    0.49926E+04
    0.10836E+00    0.49615E+04
    0.10891E+00    0.49316E+04
    0.10946E+00    0.49027E+04
    0.11001E+00    0.48749E+04
    0.11055E+00    0.48481E+04
    0.11110E+00    0.48222E+04
    0.11165E+00    0.47972E+04
    0.11219E+00    0.47731E+04
    0.11274E+00    0.47497E+04
    0.11329E+00    0.47271E+04
    0.11384E+00    0.47052E+04
    0.11438E+00    0.46839E+04
    0.11493E+00    0.46632E+04
    0.11548E+00    0.46430E+04
    0.11602E+00    0.46234E+04
    0.11657E+00    0.46041E+04
    0.11712E+00    0.45853E+04
    0.11766E+00    0.45668E+04
    0.11821E+00    0.45486E+04
    0.11876E+00    0.45306E+04
    0.11931E+00    0.45129E+04
    0.11985E+00    0.44953E+04
    0.12040E+00    0.44778E+04
    0.12095E+00    0.44603E+04
    0.12149E+00    0.44429E+04
    0.12204E+00    0.44255E+04
    0.12259E+00    0.44080E+04
    0.12314E+00    0.43905E+04
    0.12368E+00    0.43728E+04
    0.12423E+00    0.43549E+04
    0.12478E+00    0.43369E+04
    0.12532E+00    0.43187E+04
    0.12587E+00    0.43002E+04
    0.12642E+00    0.42814E+04
    0.12696E+00    0.42624E+04
    0.12751E+00    0.42430E+04
    0.12806E+00    0.42234E+04
    0.12861E+00    0.42033E+04
    0.12915E+00    0.41829E+04
    0.12970E+00    0.41622E+04
    0.13025E+00    0.41410E+04
    0.13079E+00    0.41195E+04
    0.13134E+00    0.40976E+04
    0.13189E+00    0.40753E+04
    0.13244E+00    0.40526E+04
    0.13298E+00    0.40295E+04
    0.13353E+00    0.40060E+04
    0.13408E+00    0.39821E+04
    0.13462E+00    0.39578E+04
    0.13517E+00    0.39332E+04
    0.13572E+00    0.39082E+04
    0.13627E+00    0.38828E+04
    0.13681E+00    0.38571E+04
    0.13736E+00    0.38311E+04
    0.13791E+00    0.38048E+04
    0.13845E+00    0.37782E+04
    0.13900E+00    0.37514E+04
    0.13955E+00    0.37243E+04
    0.14009E+00    0.36969E+04
    0.14064E+00    0.36694E+04
    0.14119E+00    0.36417E+04
    0.14174E+00    0.36139E+04
    0.14228E+00    0.35859E+04
    0.14283E+00    0.35578E+04
    0.14338E+00    0.35297E+04
    0.14392E+00    0.35015E+04
    0.14447E+00    0.34732E+04
    0.14502E+00    0.34450E+04
    0.14557E+00    0.34168E+04
    0.14611E+00    0.33886E+04
    0.14666E+00    0.33605E+04
    0.14721E+00    0.33326E+04
    0.14775E+00    0.33047E+04
    0.14830E+00    0.32770E+04
    0.14885E+00    0.32495E+04
    0.14940E+00    0.32222E+04
    0.14994E+00    0.31951E+04
    0.15049E+00    0.31682E+04
    0.15104E+00    0.31416E+04
    0.15158E+00    0.31153E+04
    0.15213E+00    0.30893E+04
    0.15268E+00    0.30636E+04
    0.15322E+00    0.30383E+04
    0.15377E+00    0.30133E+04
    0.15432E+00    0.29887E+04
    0.15487E+00    0.29645E+04
    0.15541E+00    0.29407E+04
    0.15596E+00    0.29173E+04
    0.15651E+00    0.28943E+04
    0.15705E+00    0.28717E+04
    0.15760E+00    0.28496E+04
    0.15815E+00    0.28280E+04
    0.15870E+00    0.28068E+04
    0.15924E+00    0.27860E+04
    0.15979E+00    0.27658E+04
    0.16034E+00    0.27460E+04
    0.16088E+00    0.27266E+04
    0.16143E+00    0.27078E+04
    0.16198E+00    0.26894E+04
    0.16252E+00    0.26715E+04
    0.16307E+00    0.26540E+04
    0.16362E+00    0.26371E+04
    0.16417E+00    0.26206E+04
    0.16471E+00    0.26045E+04
    0.16526E+00    0.25889E+04
    0.16581E+00    0.25738E+04
    0.16635E+00    0.25591E+04
    0.16690E+00    0.25448E+04
    0.16745E+00    0.25310E+04
    0.16800E+00    0.25176E+04
    0.16854E+00    0.25045E+04
    0.16909E+00    0.24919E+04
    0.16964E+00    0.24797E+04
    0.17018E+00    0.24678E+04
    0.17073E+00    0.24563E+04
    0.17128E+00    0.24451E+04
    0.17183E+00    0.24343E+04
    0.17237E+00    0.24238E+04
    0.17292E+00    0.24136E+04
    0.17347E+00    0.24036E+04
    0.17401E+00    0.23940E+04
    0.17456E+00    0.23846E+04
    0.17511E+00    0.23755E+04
    0.17565E+00    0.23666E+04
    0.17620E+00    0.23579E+04
    0.17675E+00    0.23494E+04
    0.17730E+00    0.23411E+04
    0.17784E+00    0.23330E+04
    0.17839E+00    0.23250E+04
    0.17894E+00    0.23172E+04
    0.17948E+00    0.23094E+04
    0.18003E+00    0.23018E+04
    0.18058E+00    0.22943E+04
    0.18113E+00    0.22869E+04
    0.18167E+00    0.22795E+04
    0.18222E+00    0.22722E+04
    0.18277E+00    0.22649E+04
    0.18331E+00    0.22577E+04
    0.18386E+00    0.22504E+04
    0.18441E+00    0.22432E+04
    0.18495E+00    0.22359E+04
    0.18550E+00    0.22286E+04
    0.18605E+00    0.22213E+04
    0.18660E+00    0.22139E+04
    0.18714E+00    0.22065E+04
    0.18769E+00    0.21990E+04
    0.18824E+00    0.21914E+04
    0.18878E+00    0.21837E+04
    0.18933E+00    0.21760E+04
    0.18988E+00    0.21682E+04
    0.19043E+00    0.21602E+04
    0.19097E+00    0.21522E+04
    0.19152E+00    0.21440E+04
    0.19207E+00    0.21357E+04
    0.19261E+00    0.21273E+04
    0.19316E+00    0.21188E+04
    0.19371E+00    0.21101E+04
    0.19426E+00    0.21014E+04
    0.19480E+00    0.20925E+04
    0.19535E+00    0.20834E+04
    0.19590E+00    0.20742E+04
    0.19644E+00    0.20649E+04
    0.19699E+00    0.20555E+04
    0.19754E+00    0.20459E+04
    0.19808E+00    0.20363E+04
    0.19863E+00    0.20264E+04
    0.19918E+00    0.20165E+04
    0.19973E+00    0.20065E+04
    0.20027E+00    0.19963E+04
    0.20082E+00    0.19861E+04
    0.20137E+00    0.19757E+04
    0.20191E+00    0.19653E+04
    0.20246E+00    0.19547E+04
    0.20301E+00    0.19441E+04
    0.20356E+00    0.19334E+04
    0.20410E+00    0.19227E+04
    0.20465E+00    0.19119E+04
    0.20520E+00    0.19010E+04
    0.20574E+00    0.18901E+04
    0.20629E+00    0.18792E+04
    0.20684E+00    0.18682E+04
    0.20739E+00    0.18572E+04
    0.20793E+00    0.18463E+04
    0.20848E+00    0.18353E+04
    0.20903E+00    0.18243E+04
    0.20957E+00    0.18133E+04
    0.21012E+00    0.18023E+04
    0.21067E+00    0.17914E+04
    0.21121E+00    0.17805E+04
    0.21176E+00    0.17697E+04
    0.21231E+00    0.17588E+04
    0.21286E+00    0.17481E+04
    0.21340E+00    0.17374E+04
    0.21395E+00    0.17268E+04
    0.21450E+00    0.17163E+04
    0.21504E+00    0.17058E+04
    0.21559E+00    0.16955E+04
    0.21614E+00    0.16852E+04
    0.21669E+00    0.16751E+04
    0.21723E+00    0.16651E+04
    0.21894E+00    0.16345E+04
    0.22067E+00    0.16049E+04
    0.22240E+00    0.15765E+04
    0.22416E+00    0.15495E+04
